character,level,strokes,grade,freq,onyomi,kunyomi,meanings
暴,N2,15,5,692,ボウ; バク,あば.く; あば.れる,outburst; rave; fret; force; violence; cruelty; outrage
輪,N2,15,4,693,リン,わ,wheel; ring; circle; link; loop; counter for wheels and flowers
占,N2,5,8,694,セン,し.める; うらな.う,fortune-telling; divining; forecasting; occupy; hold; have; get; take
植,N2,12,3,699,ショク,う.える; う.わる,plant
清,N2,11,4,705,セイ; ショウ; シン,きよ.い; きよ.まる; きよ.める,pure; purify; cleanse; exorcise; Manchu dynasty
倍,N2,10,3,714,バイ,,double; twice; times; fold
均,N2,7,5,715,キン,なら.す,level; average
億,N2,15,4,716,オク,,hundred million; 10**8
圧,N2,5,5,718,アツ; エン; オウ,お.す; へ.す; おさ.える; お.さえる,pressure; push; overwhelm; oppress; dominate
芸,N2,7,4,719,ゲイ; ウン,う.える; のり; わざ,technique; art; craft; performance; acting; trick; stunt
署,N2,13,6,725,ショ,,signature; govt office; police station
伸,N2,7,8,730,シン,の.びる; の.ばす; の.べる; の.す,expand; stretch; extend; lengthen; increase
停,N2,11,5,733,テイ,と.める; と.まる,halt; stopping
爆,N2,19,8,735,バク,は.ぜる,bomb; burst open; pop; split
陸,N2,11,4,736,リク; ロク,おか,land; six
玉,N2,5,1,737,ギョク,たま; たま-; -だま,jewel; ball
波,N2,8,3,740,ハ,なみ,waves; billows; Poland
帯,N2,10,4,746,タイ,お.びる; おび,sash; belt; obi; zone; region
延,N2,8,6,747,エン,の.びる; の.べる; の.べ; の.ばす,prolong; stretching
羽,N2,6,2,748,ウ,は; わ; はね,"feathers; counter for birds, rabbits"
固,N2,8,4,750,コ,かた.める; かた.まる; かた.まり; かた.い,harden; set; clot; curdle
則,N2,9,5,753,ソク,のっと.る; のり; すなわち,rule; law; follow; based on; model after
乱,N2,7,6,755,ラン; ロン,みだ.れる; みだ.る; みだ.す; みだ; おさ.める; わた.る,riot; war; disorder; disturb
普,N2,12,8,757,フ,あまね.く; あまねし,universal; wide(ly); generally; Prussia
測,N2,12,5,761,ソク,はか.る,fathom; plan; scheme; measure
豊,N2,13,5,762,ホウ; ブ,ゆた.か; とよ,bountiful; excellent; rich
厚,N2,9,5,768,コウ,あつ.い; あか,thick; heavy; rich; kind; cordial; brazen; shameless
齢,N2,17,8,770,レイ,よわい; とし,age
囲,N2,7,5,771,イ,かこ.む; かこ.う; かこ.い,surround; besiege; store; paling; enclosure; encircle; preserve; keep
卒,N2,8,4,772,ソツ; シュツ,そっ.する; お.える; お.わる; ついに; にわか,graduate; soldier; private; die
略,N2,11,5,774,リャク,ほぼ; はぶ.く; おか.す; おさ.める; はかりごと; はか.る,abbreviation; omission; outline; shorten; capture; plunder
承,N2,8,6,775,ショウ; ジョウ,うけたまわ.る; う.ける,acquiesce; hear; listen to; be informed; receive
順,N2,12,4,779,ジュン,,obey; order; turn; right; docility; occasion
岩,N2,8,2,787,ガン,いわ,boulder; rock; cliff
練,N2,14,3,788,レン,ね.る; ね.り,practice; gloss; train; drill; polish; refine
軽,N2,12,3,790,ケイ; キョウ; キン,かる.い; かろ.やか; かろ.んじる,lightly; trifling; unimportant
了,N2,2,8,792,リョウ,,complete; finish
庁,N2,5,6,793,チョウ; テイ,やくしょ,government office
城,N2,9,4,795,ジョウ; セイ,しろ,castle
患,N2,11,8,796,カン,わずら.う,afflicted; disease; suffer from; be ill
層,N2,14,6,801,ソウ,,stratum; social class; layer; story; floor
版,N2,8,5,802,ハン,,printing block; printing plate; edition; impression; label
令,N2,5,4,804,レイ,,orders; laws; command; decree; good
角,N2,7,2,805,カク,かど; つの,angle; corner; square; horn; antlers
絡,N2,12,8,806,ラク,から.む; から.まる,entwine; coil around; get caught in
損,N2,13,5,807,ソン,そこ.なう; そこな.う; -そこ.なう; そこ.ねる; -そこ.ねる,damage; loss; disadvantage; hurt; injure
募,N2,12,8,809,ボ,つの.る,recruit; campaign; gather (contributions); enlist; grow violent
裏,N2,13,6,812,リ,うら,back; amidst; in; reverse; inside; palm; sole; rear; lining; wrong side
仏,N2,4,5,819,ブツ; フツ,ほとけ,Buddha; the dead; France
績,N2,17,5,820,セキ,,exploits; achievements; unreeling cocoons
築,N2,16,5,821,チク,きず.く,fabricate; build; construct
貨,N2,11,4,822,カ,たから,freight; goods; property
混,N2,11,5,824,コン,ま.じる; -ま.じり; ま.ざる; ま.ぜる; こ.む,mix; blend; confuse
昇,N2,8,8,826,ショウ,のぼ.る,rise up
池,N2,6,2,827,チ,いけ,pond; cistern; pool; reservoir
血,N2,6,3,832,ケツ,ち,blood
温,N2,12,3,838,オン,あたた.か; あたた.かい; あたた.まる; あたた.める; ぬく,warm
季,N2,8,4,842,キ,,seasons
星,N2,9,2,844,セイ; ショウ,ほし; -ぼし,star; spot; dot; mark
永,N2,5,5,846,エイ,なが.い,eternity; long; lengthy
著,N2,11,6,849,チョ; チャク,あらわ.す; いちじる.しい,renowned; publish; write; remarkable; phenomenal; put on; don; wear; arrival; finish (race); counter for suits of clothing; literary work
誌,N2,14,6,851,シ,,document; records
庫,N2,10,3,852,コ; ク,くら,warehouse; storehouse
刊,N2,5,5,855,カン,,publish; carve; engrave
像,N2,14,5,856,ゾウ,,statue; picture; image; figure; portrait
