character,level,strokes,grade,freq,onyomi,kunyomi,meanings
氏,N1,4,4,84,シ,うじ; -うじ,family name; surname; clan
統,N1,12,5,125,トウ,す.べる,overall; relationship; ruling; governing
保,N1,9,5,146,ホ; ホウ,たも.つ,protect; guarantee; keep; preserve; sustain; support
第,N1,11,3,160,ダイ; テイ,,No.; residence
結,N1,12,4,162,ケツ; ケチ,むす.ぶ; ゆ.う; ゆ.わえる,tie; bind; contract; join; organize; do up hair; fasten
派,N1,9,6,164,ハ,,faction; group; party; clique; sect; school
案,N1,10,4,206,アン,つくえ,plan; suggestion; draft; ponder; fear; proposition; idea; expectation; worry; table; bench
策,N1,12,6,209,サク,,scheme; plan; policy; step; means
基,N1,11,5,241,キ,もと; もとい,fundamentals; radical (chem); counter for machines; foundation
価,N1,8,5,250,カ; ケ,あたい,value; price
提,N1,12,5,254,テイ; チョウ; ダイ,さ.げる,propose; take along; carry in hand
挙,N1,10,4,257,キョ,あ.げる; あ.がる; こぞ.る,raise; plan; project; behavior; actions
応,N1,7,5,266,オウ; ヨウ; -ノウ,あた.る; まさに; こた.える,apply; answer; yes; OK; reply; accept
企,N1,6,8,278,キ,くわだ.てる; たくら.む,undertake; scheme; design; attempt; plan
検,N1,12,5,290,ケン,しら.べる,examination; investigate
藤,N1,18,8,291,トウ; ドウ,ふじ,wisteria
沢,N1,7,8,296,タク,さわ; うるお.い; うるお.す; つや,swamp; marsh; brilliance; grace
裁,N1,12,6,297,サイ,た.つ; さば.く,tailor; judge; decision; cut out (pattern)
証,N1,12,5,306,ショウ,あかし,evidence; proof; certificate
援,N1,12,8,312,エン,,abet; help; save
施,N1,9,8,323,シ; セ,ほどこ.す,give; bestow; perform; alms
井,N1,4,4,339,セイ; ショウ,い,well; well crib; town; community
護,N1,20,5,351,ゴ,まも.る,safeguard; protect
展,N1,10,6,352,テン,,unfold; expand
態,N1,14,5,353,タイ,わざ.と,attitude; condition; figure; appearance; voice (of verbs)
鮮,N1,17,8,355,セン,あざ.やか,fresh; vivid; clear; brilliant; Korea
視,N1,11,6,362,シ,み.る,inspection; regard as; see; look at
条,N1,7,5,363,ジョウ; チョウ; デキ,えだ; すじ,"article; clause; counter for articles, clauses, paragraphs, etc.; twig; item; stripe; streak"
幹,N1,13,5,364,カン,みき,tree trunk; main part; talent; capability
独,N1,9,5,365,ドク; トク,ひと.り,single; alone; spontaneously; Germany
宮,N1,10,3,367,キュウ; グウ; ク; クウ,みや,Shinto shrine; constellations; palace; princess
率,N1,11,5,383,ソツ; リツ; シュツ,ひき.いる,ratio; rate; proportion; %; factor; lead; spearhead; command
衛,N1,16,5,400,エイ; エ,,defense; protection
張,N1,11,5,403,チョウ,は.る; -は.り; -ば.り,counter for bows & stringed instruments; stretch; spread; put up (tent)
監,N1,15,8,408,カン,,oversee; official; govt office; rule; administer
環,N1,17,8,409,カン,わ,ring; circle; loop
審,N1,15,8,412,シン,つまび.らか; つぶさ.に,hearing; judge; trial
義,N1,13,5,415,ギ,,righteousness; justice; morality; honor; loyalty; meaning
訴,N1,12,8,427,ソ,うった.える,accusation; sue; complain of pain; appeal to
株,N1,10,6,432,シュ,かぶ,stocks; stump; shares; stock; counter for small plants
姿,N1,9,6,441,シ,すがた,figure; form; shape
閣,N1,14,6,444,カク,,tower; tall building; palace
衆,N1,12,6,450,シュウ; シュ,おお.い,masses; great numbers; multitude; populace
評,N1,12,5,454,ヒョウ,,evaluate; criticism; comment
影,N1,15,8,464,エイ,かげ,shadow; silhouette; phantom
松,N1,8,4,471,ショウ,まつ,pine tree
撃,N1,15,8,473,ゲキ,う.つ,beat; attack; defeat; conquer
佐,N1,7,4,474,サ,,assistant; help
核,N1,10,8,475,カク,,nucleus; core; kernel
整,N1,16,3,478,セイ,ととの.える; ととの.う,organize; arranging; tune; tone; meter; key (music)
融,N1,16,8,481,ユウ,と.ける; と.かす,dissolve; melt
製,N1,14,5,488,セイ,,made in...; manufacture
票,N1,11,4,489,ヒョウ,,ballot; label; ticket; sign
渉,N1,11,8,499,ショウ,わた.る,ford; go cross; transit; ferry; import; involve
響,N1,20,8,502,キョウ,ひび.く,echo; sound; resound; ring; vibrate
推,N1,11,6,507,スイ,お.す,conjecture; infer; guess; suppose; support; push (for)
請,N1,15,8,524,セイ; シン; ショウ,こ.う; う.ける,solicit; invite; ask
器,N1,15,4,525,キ,うつわ,utensil; vessel; receptacle; implement; instrument; ability; container; tool; set
